,Id,MSZoning,LotFrontage,LotArea,Street,Utilities,Neighborhood,BldgType,YearBuilt,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,Foundation,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,PoolArea,MiscVal,SaleType,SaleCondition,SalePrice
0,1,3.0,65.0,8450,1.0,0.0,5.0,0.0,2003,1.0,1.0,1.0,196.0,2.0,856,1.0,4.0,856,1710,3,1,2.0,8,0,2,2.0,0,0,8.0,4.0,208500
1,2,3.0,80.0,9600,1.0,0.0,24.0,0.0,1976,1.0,1.0,2.0,0.0,1.0,1262,1.0,4.0,1262,1262,3,1,3.0,6,1,2,2.0,0,0,8.0,4.0,181500
2,3,3.0,68.0,11250,1.0,0.0,5.0,0.0,2001,1.0,1.0,1.0,162.0,2.0,920,1.0,4.0,920,1786,3,1,2.0,6,1,2,2.0,0,0,8.0,4.0,223500
3,4,3.0,60.0,9550,1.0,0.0,6.0,0.0,1915,1.0,1.0,2.0,0.0,0.0,756,1.0,4.0,961,1717,3,1,2.0,7,1,3,2.0,0,0,8.0,0.0,140000
4,5,3.0,84.0,14260,1.0,0.0,15.0,0.0,2000,1.0,1.0,1.0,350.0,2.0,1145,1.0,4.0,1145,2198,4,1,2.0,9,1,3,2.0,0,0,8.0,4.0,250000
5,6,3.0,85.0,14115,1.0,0.0,11.0,0.0,1993,1.0,1.0,2.0,0.0,5.0,796,1.0,4.0,796,1362,1,1,3.0,5,0,2,2.0,0,700,8.0,4.0,143000
6,7,3.0,75.0,10084,1.0,0.0,21.0,0.0,2004,1.0,1.0,3.0,186.0,2.0,1686,1.0,4.0,1694,1694,3,1,2.0,7,1,2,2.0,0,0,8.0,4.0,307000
7,8,3.0,70.04995836802665,10382,1.0,0.0,14.0,0.0,1973,1.0,1.0,3.0,240.0,1.0,1107,1.0,4.0,1107,2090,3,1,3.0,7,2,2,2.0,0,350,8.0,4.0,200000
8,9,4.0,51.0,6120,1.0,0.0,17.0,0.0,1931,1.0,1.0,2.0,0.0,0.0,952,1.0,1.0,1022,1774,2,2,3.0,8,2,2,2.0,0,0,8.0,0.0,129900
9,10,3.0,50.0,7420,1.0,0.0,3.0,1.0,1939,1.0,1.0,2.0,0.0,0.0,991,1.0,4.0,1077,1077,2,2,3.0,5,2,1,2.0,0,0,8.0,4.0,118000
